Q01 | answered | latency_ms=5530.81 | hit_docs=layoutlm_1912.13318.pdf | failure_reason=- | error=-
Q02 | answered | latency_ms=8141.36 | hit_docs=layoutlmv2_2012.14740.pdf | failure_reason=- | error=-
Q03 | answered | latency_ms=3076.95 | hit_docs=layoutlmv3_2204.08387.pdf | failure_reason=- | error=-
Q04 | answered | latency_ms=3542.74 | hit_docs=donut_2111.15664.pdf | failure_reason=- | error=-
Q05 | answered | latency_ms=4587.08 | hit_docs=rag_2005.11401.pdf | failure_reason=- | error=-
Q06 | answered | latency_ms=5495.42 | hit_docs=self_rag_2310.11511.pdf | failure_reason=- | error=-
Q07 | answered | latency_ms=3712.03 | hit_docs=docllm_2401.00908.pdf | failure_reason=- | error=-
Q08 | answered | latency_ms=4798.48 | hit_docs=colpali_2407.01449.pdf | failure_reason=- | error=-
Q09 | answered | latency_ms=4913.28 | hit_docs=docllm_2401.00908.pdf | failure_reason=- | error=-
Q10 | answered | latency_ms=6554.33 | hit_docs=colpali_2407.01449.pdf | failure_reason=- | error=-
Q11 | answered | latency_ms=6093.26 | hit_docs=layoutlm_1912.13318.pdf | failure_reason=- | error=-
Q12 | answered | latency_ms=7278.29 | hit_docs=donut_2111.15664.pdf | failure_reason=- | error=-
Q13 | answered | latency_ms=2134.59 | hit_docs=donut_2111.15664.pdf | failure_reason=- | error=-
Q14 | answered | latency_ms=2914.52 | hit_docs=layoutlmv2_2012.14740.pdf | failure_reason=- | error=-
Q15 | answered | latency_ms=5646.24 | hit_docs=self_rag_2310.11511.pdf | failure_reason=- | error=-
Q16 | answered | latency_ms=4226.41 | hit_docs=docllm_2401.00908.pdf | failure_reason=- | error=-
Q17 | answered | latency_ms=9495.12 | hit_docs=layoutlmv3_2204.08387.pdf | failure_reason=- | error=-
Q18 | answered | latency_ms=3911.83 | hit_docs=layoutlmv3_2204.08387.pdf | failure_reason=- | error=-
Q19 | refused | latency_ms=1165.28 | hit_docs=- | failure_reason=low_confidence | error=-
Q20 | refused | latency_ms=4934.04 | hit_docs=- | failure_reason=提供的文档片段中没有出现2026年GPU租赁价格或价格对比表相关信息。 | error=-
